CODE DEPARTEMENT,Code Collectivité,Nom de la collectivité,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Durée,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Taux,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Date,SIREN EPCI,Nom EPCI,population,code,taux
88,190,FRIZON,3,100,02/09/22,200068757,CA d'Epinal,496,88190,100
70,055,BAUDONCOURT,3,50,22/09/23,247000755,CC du Pays de Luxeuil,488,70055,50
60,123,CAMPREMY,3,100,13/06/23,200068005,CC de l'Oise Picarde,484,60123,100
27,606,SAINT SYMPHORIEN,3,50,20/12/07,200065787,CC de Pont-Audemer / Val de Risle,476,27606,50
30,065,CANAULES ET ARGENTIERES,3,50,30/09/16,200034411,CC du Piémont Cévenol,472,30065,50
64,064,ASASP ARROS,3,50,13/04/21,200067262,CC du Haut Béarn,469,64064,50
87,087,LUSSAC-LES-EGLISES,3,50,29/09/19,200071942,CC Haut Limousin en Marche,463,87087,50
31,304,LOUBENS LAURAGAIS,3,50,29/09/21,200071298,CC des Terres du Lauragais,453,31304,50
27,646,LE TORPT,3,50,22/09/07,200066017,CC Lieuvin Pays d'Auge,451,27646,50
76,142,BREMONTIER MERVAL,3,50,18/11/16,200069730,CC des 4 rivières,445,76142,50
60,177,CRESSONSACQ,3,50,23/09/09,246000566,CC du Plateau Picard,440,60177,50
08,137,DAMOUZY,3,50,07/09/12,200041630,CA Ardenne Métropole,438,08137,50
21,294,GERLAND,3,100,24/09/15,200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,438,21294,100
07,083,DUNIERE SUR EYRIEUX,3,50,27/09/10,200071413,CA Privas Centre Ardèche,436,07083,50
89,053,BRANCHES,3,50,26/09/23,200067114,CA de l'Auxerrois,436,89053,50
68,275,RIMBACH-PRES-MASEVAUX,3,100,17/09/07,246800676,CC de la Vallée de la Doller et du Soultzbach,435,68275,100
76,317,GRAINVILLE YMAUVILLE,3,50,28/01/21,247600505,CC Campagne-de-Caux,426,76317,50
18,243,SANTRANGES,3,50,14/09/15,200069227,CC Pays Fort Sancerrois Val de Loire,425,18243,50
22,217,PLOUGRAS,3,50,08/02/12,200065928,CA Lannion-Trégor Communauté,421,22217,50
19,076,ESPARTIGNAC,3,100,26/09/19,241927243,CC du Pays d'Uzerche,410,19076,100
67,149,FURCHHAUSEN,3,100,03/09/07,200068112,CC du Pays de Saverne,406,67149,100
35,044,BROUALAN,3,50,24/09/13,200070670,CC du Pays de Dol et de la Baie du Mont Saint-Michel,401,35044,50
81,293,TAURIAC,3,50,07/02/13,200066124,CA Gaillac-Graulhet,379,81293,50
55,144,DAMMARIE SUR SAULX,3,100,26/09/08,200066108,CC des Portes de Meuse,374,55144,100
11,438,VILLESISCLE,3,50,29/09/07,200035707,CC Piège Lauragais Malepère,373,11438,50
47,150,LONGUEVILLE,3,50,27/09/23,200030674,CA Val de Garonne Agglomération,373,47150,50
80,572,MORLANCOURT,3,50,02/07/13,248000747,CC du Pays du Coquelicot,373,80572,50
17,081,CHAMOUILLAC,3,50,19/09/08,200041523,CC de la Haute Saintonge,369,17081,50
65,473,VILLELONGUE,3,100,03/10/17,200070811,CC Pyrénées Vallées des Gaves,368,65473,100
77,026,BEAUCHERY SAINT MARTIN,3,80,30/06/21,200037133,CC du Provinois,364,77026,80
72,083,CHEVILLE,3,100,16/02/20,200040475,CC LBN Communauté,363,72083,100
52,006,ALLICHAMPS,3,50,03/10/14,200068666,CA de Saint-Dizier Der et Blaise,360,52006,50
14,379,LONGVILLERS,3,50,28/08/08,200069524,CC Pré-Bocage Intercom,359,14379,50
71,252,LALHEUE,3,100,18/09/19,247103765,CC Entre Saône et Grosne,356,71252,100
21,347,LEVERNOIS,3,50,28/09/23,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",353,21347,50
79,203,PAS DE JEU,3,50,10/07/17,247900798,CC du Thouarsais,351,79203,50
24,097,CHAMPAGNE FONTAINE,3,50,29/11/13,200040400,CC du Périgord Ribéracois,347,24097,50
61,327,PERVENCHERES,3,100,18/09/23,200036069,CC du Pays de Mortagne au Perche,341,61327,100
83,044,COMPS SUR ARTUBY,3,50,22/09/07,248300493,CA Dracénie Provence Verdon Agglomération,339,83044,50
34,044,CABREROLLES,3,50,05/03/14,200071058,CC Les Avant-Monts,337,34044,50
27,697,VIRONVAY,3,50,16/11/10,200089456,CA Seine-Eure,334,27697,50
19,249,ST YRIEIX LE DEJALAT,3,100,25/03/11,241900133,CC de Ventadour - Egletons - Monédières,333,19249,100
